order_id,business_area,currency,last_price,qty,timestamp
ORD00001,Retail,USD,3208.91,32,1765901261552
ORD00002,Ecommerce,JPY,2027.36,39,1765901261553
ORD00003,Retail,GBP,3701.03,46,1765901261554
ORD00004,Energy,EUR,3566.7,52,1765901261555
ORD00005,Energy,EUR,2370.96,48,1765901261556
ORD00006,Retail,JPY,2310.38,75,1765901261557
ORD00007,Retail,JPY,1155.85,40,1765901261558
ORD00008,Retail,JPY,4146.25,53,1765901261559
ORD00009,Retail,JPY,4877.01,87,1765901261560
ORD00010,BFSI,GBP,3856.0,82,1765901261561
ORD00011,BFSI,GBP,1790.42,92,1765901261562
ORD00012,Ecommerce,INR,4667.61,10,1765901261563
ORD00013,Energy,GBP,4325.72,64,1765901261564
ORD00014,Ecommerce,JPY,1306.96,45,1765901261565
ORD00015,Healthcare,GBP,530.47,93,1765901261566
ORD00016,Healthcare,GBP,4465.85,23,1765901261567
ORD00017,BFSI,EUR,4685.94,83,1765901261568
ORD00018,BFSI,GBP,240.82,63,1765901261569
ORD00019,Ecommerce,EUR,4613.81,44,1765901261570
ORD00020,BFSI,GBP,4410.01,66,1765901261571
ORD00021,Ecommerce,JPY,261.05,93,1765901261572
ORD00022,BFSI,GBP,4268.08,13,1765901261573
ORD00023,Ecommerce,USD,4544.83,20,1765901261574
ORD00024,Retail,JPY,2487.94,41,1765901261575
ORD00025,Ecommerce,EUR,1700.3,84,1765901261576
ORD00026,BFSI,EUR,1526.51,92,1765901261577
ORD00027,Energy,USD,4601.98,84,1765901261578
ORD00028,Healthcare,GBP,2139.78,72,1765901261579
ORD00029,Healthcare,INR,961.6,88,1765901261580
ORD00030,Healthcare,USD,432.22,62,1765901261581
ORD00031,BFSI,EUR,3998.26,30,1765901261582
ORD00032,Ecommerce,USD,1559.28,18,1765901261583
ORD00033,Ecommerce,EUR,599.05,91,1765901261584
ORD00034,BFSI,GBP,3775.73,88,1765901261585
ORD00035,Healthcare,USD,4586.13,15,1765901261586
ORD00036,Healthcare,USD,2625.5,14,1765901261587
ORD00037,Energy,INR,916.01,72,1765901261588
ORD00038,BFSI,JPY,1719.38,95,1765901261589
ORD00039,BFSI,EUR,3060.59,2,1765901261590
ORD00040,BFSI,USD,2018.1,10,1765901261591
ORD00041,Ecommerce,EUR,4786.46,46,1765901261592
ORD00042,Ecommerce,EUR,308.43,62,1765901261593
ORD00043,Retail,JPY,2458.41,65,1765901261594
ORD00044,Retail,EUR,3374.47,39,1765901261595
ORD00045,Retail,USD,2693.37,79,1765901261596
ORD00046,Energy,EUR,1945.27,41,1765901261597
ORD00047,Retail,JPY,2529.5,15,1765901261598
ORD00048,Retail,GBP,4831.51,49,1765901261599
ORD00049,BFSI,GBP,3162.31,20,1765901261600
ORD00050,BFSI,USD,2746.08,4,1765901261601
ORD00051,Ecommerce,GBP,1308.74,44,1765901261602
ORD00052,Ecommerce,INR,175.54,97,1765901261603
ORD00053,Ecommerce,JPY,3833.02,22,1765901261604
ORD00054,BFSI,JPY,2501.36,29,1765901261605
ORD00055,Retail,EUR,4799.4,18,1765901261606
ORD00056,Healthcare,EUR,2160.55,49,1765901261607
ORD00057,Retail,USD,468.64,53,1765901261608
ORD00058,Retail,USD,512.01,24,1765901261609
ORD00059,Healthcare,EUR,3057.69,43,1765901261610
ORD00060,BFSI,INR,3193.6,7,1765901261611
ORD00061,BFSI,USD,3898.55,34,1765901261612
ORD00062,Healthcare,INR,3444.01,52,1765901261613
ORD00063,Energy,INR,4030.22,5,1765901261614
ORD00064,Healthcare,JPY,4501.68,68,1765901261615
ORD00065,Energy,USD,2463.73,51,1765901261616
ORD00066,BFSI,USD,1860.6,68,1765901261617
ORD00067,Ecommerce,GBP,4870.21,20,1765901261618
ORD00068,Retail,EUR,1463.47,39,1765901261619
ORD00069,Ecommerce,JPY,1143.97,76,1765901261620
ORD00070,Energy,INR,704.77,9,1765901261621
ORD00071,Retail,USD,1997.82,71,1765901261622
ORD00072,Healthcare,INR,3420.87,98,1765901261623
ORD00073,Retail,EUR,371.13,15,1765901261624
ORD00074,Energy,GBP,4542.17,29,1765901261625
ORD00075,Retail,USD,3116.18,6,1765901261626
ORD00076,BFSI,JPY,4133.54,19,1765901261627
ORD00077,BFSI,JPY,4658.0,79,1765901261628
ORD00078,Ecommerce,JPY,2528.93,63,1765901261629
ORD00079,Energy,JPY,3632.18,36,1765901261630
ORD00080,Retail,USD,3634.63,39,1765901261631
ORD00081,BFSI,JPY,3994.9,70,1765901261632
ORD00082,Ecommerce,USD,3770.33,66,1765901261633
ORD00083,BFSI,INR,1266.85,84,1765901261634
ORD00084,BFSI,EUR,113.09,91,1765901261635
ORD00085,Healthcare,USD,562.58,2,1765901261636
ORD00086,BFSI,USD,4406.67,95,1765901261637
ORD00087,Healthcare,GBP,4200.12,55,1765901261638
ORD00088,Healthcare,GBP,3781.24,92,1765901261639
ORD00089,Healthcare,USD,4083.86,14,1765901261640
ORD00090,Ecommerce,EUR,4211.05,76,1765901261641
ORD00091,BFSI,INR,916.15,28,1765901261642
ORD00092,Ecommerce,USD,3459.09,9,1765901261643
ORD00093,Retail,USD,2053.7,29,1765901261644
ORD00094,Healthcare,EUR,4061.36,42,1765901261645
ORD00095,BFSI,EUR,1075.4,91,1765901261646
ORD00096,Retail,GBP,153.64,83,1765901261647
ORD00097,Healthcare,USD,2351.67,36,1765901261648
ORD00098,Retail,INR,218.52,76,1765901261649
ORD00099,BFSI,JPY,2535.37,76,1765901261650
ORD00100,Healthcare,JPY,2134.0,26,1765901261651
